"sen.slope","sen.slope.pct","p.value","S","varS","miss","tau","nie_malla_modi_id"
0.167,0.3,0.74004,7,327,0,0.077,"1625524"
-0.778,-1.52,0.74004,-7,327,0,-0.077,"1625525"
-0.818,-1.63,0.50695,-13,327,0,-0.143,"1625526"
-0.889,-1.7,0.26677,-21,324.33,0,-0.231,"1625527"
0,0,0.65489,-9,320.33,0,-0.099,"1625528"
3.077,4.1,0.00682,50,328,0,0.549,"1625529"
2.667,3.45,0.00953,48,328.67,0,0.527,"1625530"
4.5,5.07,0.0995,31,331.67,0,0.341,"1625531"
2.667,3.93,0.22517,23,329,0,0.253,"1625532"
0,0,1,-1,331.67,0,-0.011,"1625533"
1.143,1.57,0.3782,17,329.67,0,0.187,"1625534"
3,3.73,0.10968,30,328.67,0,0.33,"1625535"
3.333,4.35,0.03636,39,329.67,0,0.429,"1625536"
2,2.75,0.06113,35,329.67,0,0.385,"1625537"
2.182,2.91,0.18399,25,326.33,0,0.275,"1625538"
1.6,2.35,0.24624,22,328,0,0.242,"1625539"
4,4.85,0.02058,43,329,0,0.473,"1625540"
4,4.38,0.06086,35,329,0,0.385,"1625541"
2.846,2.81,0.22517,23,329,0,0.253,"1625542"
5.308,5.4,0.0995,31,331.67,0,0.341,"1625543"
4.444,4.28,0.18578,25,329,0,0.275,"1625544"
0,0,0.95597,-2,328,0,-0.022,"1627925"
0,0,1,-1,327,0,-0.011,"1627926"
-0.8,-1.69,0.50695,-13,327,0,-0.143,"1627927"
1.333,2.4,0.43881,15,327,0,0.165,"1627928"
0,0,0.73745,-7,320.33,0,-0.077,"1627929"
0.889,1.37,0.6582,9,327,0,0.099,"1627930"
4,4.96,0.00946,48,328,0,0.527,"1627931"
3.3,4.17,0.01758,44,328,0,0.484,"1627932"
0,0,0.9122,-3,329,0,-0.033,"1627933"
2,2.87,0.22704,23,331.67,0,0.253,"1627934"
1,1.35,0.6595,9,329.67,0,0.099,"1627935"
3.333,4.35,0.03636,39,329.67,0,0.429,"1627936"
2.462,3.26,0.06113,35,329.67,0,0.385,"1627937"
2.143,2.68,0.18623,25,329.67,0,0.275,"1627938"
2,2.78,0.20133,24,324,0,0.264,"1627939"
1.857,2.4,0.28968,20,322,0,0.22,"1627940"
3.429,4.96,0.03198,40,330.67,0,0.44,"1627941"
4,4.55,0.04807,37,331.67,0,0.407,"1627942"
2.286,2.68,0.34985,18,330.67,0,0.198,"1627943"
3.2,4.22,0.44067,15,329.67,0,0.165,"1627944"
1,1.31,0.57988,11,326.33,0,0.121,"1627945"
2.143,2.24,0.70028,8,330.67,0,0.088,"1627946"
-5.25,-7.07,0.27019,-21,329,0,-0.231,"1627947"
-4,-4.57,0.40943,-16,330.67,0,-0.176,"1627948"
-0.8,-1.72,0.58026,-11,327,0,-0.121,"1630328"
-1.333,-2.86,0.22376,-23,327,0,-0.253,"1630329"
0,0,1,-1,327,0,-0.011,"1630330"
0,0,0.91193,3,327,0,0.033,"1630331"
3,4.24,0.03636,39,329.67,0,0.429,"1630332"
4,4.96,0.00946,48,328,0,0.527,"1630333"
3.444,4.05,0.06844,34,328,0,0.374,"1630334"
2,2.6,0.40943,16,330.67,0,0.176,"1630335"
0,0,0.95597,2,328,0,0.022,"1630336"
1.167,1.6,0.24624,22,328,0,0.242,"1630337"
1.143,1.63,0.22376,23,327,0,0.253,"1630338"
2.333,3.31,0.02604,41,323,0,0.451,"1630339"
2,2.87,0.12115,29,326.33,0,0.319,"1630340"
2.182,3.16,0.22517,23,329,0,0.253,"1630341"
-2.333,-3.75,0.12,-29,324.33,0,-0.319,"1630342"
-2.333,-3.75,0.12,-29,324.33,0,-0.319,"1630343"
0,0,0.78184,6,326,0,0.066,"1630344"
1,1.31,0.37332,17,323,0,0.187,"1630345"
0.167,0.22,0.86896,4,330.67,0,0.044,"1630346"
0.8,1.23,0.5436,12,328,0,0.132,"1630347"
1.778,2.57,0.32151,19,329.67,0,0.209,"1630348"
1,1.28,0.82615,5,331.67,0,0.055,"1630349"
-0.8,-1.72,0.58026,-11,327,0,-0.121,"1632730"
-0.8,-1.72,0.58026,-11,327,0,-0.121,"1632731"
-1.4,-2.9,0.44067,-15,329.67,0,-0.165,"1632732"
-2.462,-5.03,0.18623,-25,329.67,0,-0.275,"1632733"
2.286,3.21,0.40754,16,328,0,0.176,"1632734"
2.909,3.92,0.34985,18,330.67,0,0.198,"1632735"
4,4.99,0.12304,29,329.67,0,0.319,"1632736"
