"nie_malla_modi_id","sen_slope_tempm08","sen_slope_per_tempm08","p_value_tempm08","tau_tempm08"
1673660,0.028,0.13,0.78398,0.066
1673661,0.027,0.12,0.74181,0.077
1673662,0.028,0.12,0.74256,0.077
1673663,0.03,0.13,0.74256,0.077
1673664,0.027,0.12,0.74256,0.077
1673665,0.023,0.1,0.74256,0.077
1673666,0.03,0.13,0.74256,0.077
1673667,0.027,0.11,0.74256,0.077
1673668,0.025,0.1,0.66142,0.099
1673669,0.023,0.1,0.66142,0.099
1673670,0.023,0.1,0.6217,0.11
1673671,0.027,0.11,0.66142,0.099
1673672,0.025,0.1,0.66142,0.099
1673673,0.018,0.08,0.66142,0.099
1673674,0.025,0.11,0.66142,0.099
1673675,0.022,0.09,0.66142,0.099
1673676,0.02,0.08,0.66142,0.099
1673677,0.027,0.11,0.66142,0.099
1673678,0.032,0.13,0.6217,0.11
1673679,0.032,0.12,0.54644,0.132
1673680,0.032,0.13,0.66142,0.099
1673681,0.028,0.11,0.66142,0.099
1673682,0.03,0.12,0.58407,0.121
1673683,0.034,0.13,0.54644,0.132
1673684,0.034,0.13,0.51122,0.143
1673685,0.039,0.15,0.51122,0.143
1675910,0.023,0.1,0.74256,0.077
1675911,0.027,0.11,0.70113,0.088
1675912,0.011,0.05,0.7408,0.077
1675913,0.014,0.06,0.70113,0.088
1675914,0.021,0.1,0.74256,0.077
1675915,0.024,0.11,0.66142,0.099
1675916,0.024,0.11,0.70113,0.088
1675917,0.037,0.17,0.51122,0.143
1675919,0.038,0.17,0.51122,0.143
1675920,0.035,0.17,0.58407,0.121
1675921,0.03,0.16,0.6217,0.11
1675922,0.031,0.17,0.66142,0.099
1675923,0.032,0.17,0.6217,0.11
1675924,0.048,0.27,0.32442,0.209
1675925,0.04,0.22,0.32442,0.209
1675926,0.05,0.28,0.32442,0.209
1675927,0.042,0.24,0.35131,0.198
1675928,0.039,0.21,0.32442,0.209
1675929,0.041,0.21,0.2073,0.264
1675930,0.04,0.21,0.29754,0.22
1675931,0.04,0.22,0.24958,0.242
1675932,0.04,0.21,0.2073,0.264
1675933,0.041,0.22,0.12531,0.319
1675934,0.04,0.21,0.2073,0.264
1675935,0.042,0.23,0.18889,0.275
1675936,0.045,0.24,0.17048,0.286
1675937,0.062,0.32,0.0892,0.352
1675938,0.068,0.36,0.11184,0.33
1675939,0.068,0.37,0.10052,0.341
1675940,0.063,0.35,0.13878,0.308
1675941,0.063,0.36,0.15463,0.297
1675942,0.063,0.37,0.12418,0.319
1675943,0.062,0.37,0.15463,0.297
1675944,0.062,0.39,0.15463,0.297
1675945,0.062,0.4,0.15463,0.297
1675946,0.071,0.46,0.15463,0.297
1675947,0.06,0.37,0.18889,0.275
1675948,0.079,0.46,0.15463,0.297
1675949,0.07,0.41,0.15463,0.297
1675950,0.058,0.35,0.2073,0.264
1675951,0.052,0.32,0.22844,0.253
1675952,0.06,0.35,0.17048,0.286
1675953,0.061,0.33,0.13878,0.308
1675954,0.063,0.33,0.0892,0.352
1675955,0.071,0.4,0.12531,0.319
1675956,0.07,0.36,0.10052,0.341
1675957,0.06,0.31,0.10052,0.341
1675958,0.055,0.31,0.22844,0.253
1675959,0.047,0.28,0.22844,0.253
1675960,0.05,0.31,0.32442,0.209
1675961,0.048,0.32,0.41085,0.176
1675962,0.05,0.36,0.44342,0.165
1675963,0.053,0.39,0.44342,0.165
1675964,0.05,0.37,0.44342,0.165
1675965,0.054,0.42,0.44342,0.165
1675966,0.04,0.3,0.66142,0.099
1675967,0.04,0.3,0.66142,0.099
1675968,0.037,0.26,0.66142,0.099
1675969,0.033,0.23,0.66142,0.099
1675970,0.027,0.2,0.66142,0.099
1675971,0.025,0.19,0.74256,0.077
1675972,0.024,0.18,0.74256,0.077
1675973,0.04,0.29,0.6217,0.11
1675974,0.035,0.25,0.66142,0.099
1675975,0.033,0.22,0.66142,0.099
1675976,0.033,0.22,0.66142,0.099
1675977,0.028,0.2,0.70113,0.088
1675978,0.03,0.2,0.74256,0.077
1675979,0.028,0.18,0.78398,0.066
1675980,0.028,0.18,0.78398,0.066
1675981,0.025,0.16,0.74256,0.077
1675982,0.02,0.12,0.74256,0.077
1675983,0.018,0.11,0.74256,0.077
1675984,0.017,0.11,0.74256,0.077
1675985,0.018,0.11,0.74256,0.077
1675986,0.017,0.11,0.74256,0.077
1675987,0.017,0.1,0.70113,0.088
1675988,0.017,0.1,0.70113,0.088
1675989,0.028,0.17,0.82667,0.055
1675990,0.03,0.18,0.82667,0.055
1675991,0.029,0.17,0.74256,0.077
1675992,0.03,0.18,0.58407,0.121
1675993,0.025,0.15,0.6217,0.11
1675994,0.028,0.16,0.54644,0.132
1675995,0.034,0.2,0.58407,0.121
1675996,0.032,0.19,0.51122,0.143
1675997,0.027,0.15,0.51122,0.143
1675998,0.039,0.23,0.41085,0.176
1675999,0.038,0.22,0.32442,0.209
1676000,0.042,0.23,0.38107,0.187
1676001,0.044,0.24,0.35131,0.198
1676002,0.042,0.23,0.41085,0.176
1676003,0.042,0.23,0.35131,0.198
1676004,0.04,0.22,0.17048,0.286
1676005,0.043,0.23,0.18889,0.275
1676006,0.047,0.25,0.17048,0.286
1676007,0.036,0.19,0.18889,0.275
1676008,0.037,0.2,0.2073,0.264
1676009,0.039,0.21,0.2073,0.264
1676010,0.039,0.21,0.22844,0.253
1676011,0.043,0.24,0.27019,0.231
1676012,0.044,0.24,0.24958,0.242
1676013,0.05,0.27,0.24958,0.242
1676014,0.047,0.26,0.2073,0.264
1676015,0.043,0.23,0.15463,0.297
1676016,0.054,0.27,0.2073,0.264
1676017,0.049,0.26,0.27356,0.231
1676018,0.045,0.25,0.44342,0.165
1676019,0.05,0.3,0.476,0.154
1676020,0.047,0.28,0.58407,0.121
1676021,0.039,0.23,0.58407,0.121
1676022,0.038,0.22,0.74256,0.077
1676023,0.035,0.2,0.74256,0.077
1676024,0.042,0.25,0.74256,0.077
1676025,0.04,0.23,0.74256,0.077
1676026,0.04,0.23,0.74256,0.077
1676027,0.033,0.19,0.74256,0.077
1676028,0.04,0.23,0.78398,0.066
1676029,0.04,0.23,0.74256,0.077
1676030,0.04,0.23,0.74256,0.077
1676031,0.037,0.21,0.82667,0.055
1676032,0.033,0.18,0.70113,0.088
1676033,0.037,0.2,0.54644,0.132
1676034,0.04,0.22,0.6217,0.11
1676035,0.035,0.18,0.50995,0.143
1676036,0.028,0.14,0.44342,0.165
1676037,0.028,0.15,0.51122,0.143
1676038,0.028,0.14,0.44342,0.165
1676039,0.03,0.15,0.476,0.154
1676040,0.01,0.05,0.91281,0.033
1676041,0.01,0.05,0.91281,0.033
1676042,0.01,0.05,0.91281,0.033
1676043,0.008,0.04,0.91281,0.033
1676044,0.01,0.05,0.91281,0.033
1676045,0.008,0.04,0.82667,0.055
1676046,0.021,0.1,0.82667,0.055
1676047,0.023,0.11,0.82667,0.055
1676048,0.023,0.11,0.82667,0.055
1676049,0.02,0.09,0.82667,0.055
1676050,0.026,0.12,0.82667,0.055
1676051,0.026,0.11,0.74256,0.077
1676052,0.023,0.1,0.70113,0.088
1676053,0.03,0.14,0.78398,0.066
1676054,0.028,0.12,0.66142,0.099
1676055,0.03,0.13,0.66142,0.099
1676056,0.036,0.16,0.66142,0.099
1676057,0.036,0.16,0.70113,0.088
1676058,0.021,0.1,0.82667,0.055
1676059,0.023,0.11,0.78398,0.066
1676060,0.027,0.13,0.86935,0.044
1676061,0.026,0.12,0.78398,0.066
1676062,0.028,0.13,0.78398,0.066
1676063,0.027,0.12,0.82667,0.055
