"nie_malla_modi_id","sen_slope_pnwi","sen_slope_per_pnwi","p_value_pnwi","tau_pnwi"
1709611,2.779,2.27,0.27356,0.231
1709612,3.949,4.74,0.27356,0.231
1709613,4.472,3.78,0.32442,0.209
1709614,6.143,4.58,0.22844,0.253
1709615,7.185,4.11,0.18889,0.275
1709616,6.692,3.96,0.18889,0.275
1709617,6.772,4.65,0.18889,0.275
1709618,6.402,4.54,0.15463,0.297
1709619,7.605,5.5,0.15463,0.297
1709620,8.01,6.83,0.15463,0.297
1709621,6.688,7.57,0.10052,0.341
1709622,4.905,7.35,0.0627,0.385
1709623,6.901,7.42,0.15463,0.297
1709624,8.522,6.6,0.18889,0.275
1709625,7.238,5.72,0.18889,0.275
1709626,6.23,6.31,0.18889,0.275
1709627,5.71,7.79,0.12531,0.319
1709628,4.738,6.77,0.10052,0.341
1709629,4.83,6.53,0.15463,0.297
1709630,4.484,7.13,0.12531,0.319
1709631,3.301,7.01,0.15463,0.297
1709632,1.771,5.12,0.15463,0.297
1709633,1.083,5.02,0.10052,0.341
1709634,1.777,5.6,0.10052,0.341
1709635,3.422,6.23,0.12531,0.319
1709636,4.474,6.4,0.10052,0.341
1709637,4.41,5.97,0.10052,0.341
1709638,4.202,5.61,0.10052,0.341
1709639,4.41,5.67,0.18889,0.275
1709640,3.145,5.43,0.18889,0.275
