"nie_malla_modi_id","sen_slope_pnau","sen_slope_per_pnau","p_value_pnau","tau_pnau"
1707281,-0.404,-2.12,0.27356,-0.231
1707282,-0.705,-3.18,0.18889,-0.275
1707283,-0.74,-3.49,0.22844,-0.253
1707284,-0.095,-0.56,0.51122,-0.143
1707285,-0.095,-0.62,0.38107,-0.187
1707286,0,0,1,0
1707287,0.06,0.51,0.41085,0.176
1707288,0.022,0.21,0.62029,0.11
1707289,0,0,0.82224,0.055
1707290,0,0,0.86368,0.044
1707291,0,0,0.47975,0.143
1707292,0,0,0.60682,0.099
1707293,0,0,0.94481,-0.022
1707294,0,0,0.60682,0.099
1707295,0,0,0.95436,0.022
1707296,0,0,0.46383,0.143
1707297,0,0,0.3633,0.121
1707298,0,0,1,0.011
1707299,0,0,0.3633,0.121
1707300,0,0,0.52005,0.121
1707301,0,0,0.52005,0.121
1707302,0,0,0.3633,0.121
1707303,0,0,0.31683,0.154
1707304,0,0,1,0.011
1707305,0,0,1,0.011
1707306,0,0,1,0.011
1707307,0,0,1,0.011
1707308,0,0,1,0.011
1707309,0,0,1,0.011
1707310,0,0,1,0.011
1707311,0,NA,NA,0
1707312,0,0,1,0.011
1707313,0,0,1,0.011
1707314,0,NA,NA,0
1707315,0,NA,NA,0
1707316,0,NA,NA,0
1707317,0,NA,NA,0
1709527,-0.017,-1.73,0.22517,-0.253
1709528,-0.007,-0.28,0.78398,-0.066
1709529,-0.042,-1.01,0.82667,-0.055
1709530,-0.049,-1.17,0.66142,-0.099
1709531,-0.102,-2.16,0.66142,-0.099
1709532,-0.045,-0.93,0.82667,-0.055
1709533,-0.098,-1.46,0.74256,-0.077
1709534,-0.23,-2.32,0.74256,-0.077
1709535,-0.219,-2.38,0.74256,-0.077
1709536,-0.231,-2.77,0.66142,-0.099
1709537,-0.081,-1.6,0.51122,-0.143
1709538,-0.311,-3.57,0.58407,-0.121
1709539,-0.095,-1.44,0.82667,-0.055
1709540,-0.071,-1.42,0.66142,-0.099
1709541,-0.075,-1.15,0.86935,-0.044
1709542,-0.065,-1.52,0.6217,-0.11
1709543,0.007,0.27,0.95628,0.022
1709544,-0.041,-0.81,0.70113,-0.088
1709545,-0.028,-0.3,0.86935,-0.044
1709546,-0.032,-0.58,0.6217,-0.11
1709547,-0.026,-0.27,0.86935,-0.044
1709548,-0.024,-0.25,0.86935,-0.044
1709549,-0.02,-0.25,0.86935,-0.044
1709550,-0.016,-0.18,0.86935,-0.044
1709551,-0.075,-0.72,0.91281,-0.033
1709552,0.06,0.54,0.91281,0.033
1709553,-0.008,-0.05,1,-0.011
1709554,0.018,0.09,1,0.011
1709555,-0.008,-0.03,1,-0.011
1709556,-0.008,-0.04,1,-0.011
1709557,0.026,0.14,1,0.011
1709558,0.507,1.98,0.82667,0.055
1709559,0.689,1.49,0.51122,0.143
1709560,0.621,1.35,0.44342,0.165
1709561,0.526,0.7,0.91281,0.033
1709562,0.92,0.79,0.74256,0.077
1709563,2.812,1.75,0.58407,0.121
1709564,4.969,2.54,0.58407,0.121
1709565,4.149,2.19,0.74256,0.077
1709566,4.741,2.39,0.66142,0.099
1709567,3.567,1.48,0.66142,0.099
1709568,2.089,0.72,1,0.011
1709569,4.296,1.33,0.74256,0.077
1709570,6.21,1.73,0.66142,0.099
1709571,4.26,1.22,0.74256,0.077
1709572,4.385,1.2,0.74256,0.077
1709573,3.449,1.03,0.82667,0.055
1709574,4.006,1.16,0.82667,0.055
1709575,3.41,1.16,0.74256,0.077
1709576,3.391,1.11,0.82667,0.055
1709577,3.433,1.06,0.58407,0.121
1709578,2.981,1.07,0.82667,0.055
1709579,3.43,1.57,0.82667,0.055
1709580,3.632,1.69,0.74256,0.077
1709581,2.604,1.15,0.91281,0.033
1709582,1.831,0.82,1,0.011
1709583,2.575,1,0.74256,0.077
1709584,3.04,1.29,0.74256,0.077
1709585,2.084,0.99,0.74256,0.077
1709586,3.56,1.48,0.74256,0.077
1709587,4.705,1.58,0.74256,0.077
1709588,5.982,1.81,0.82667,0.055
1709589,5.457,1.71,0.82667,0.055
1709590,5.282,1.71,0.74256,0.077
1709591,4.249,1.54,0.58407,0.121
1709592,2.353,1.12,0.82667,0.055
1709593,2.533,1.44,0.91281,0.033
1709594,1.196,0.87,0.91281,0.033
1709595,2.551,2.25,0.74256,0.077
1709596,-0.158,-0.2,0.91281,-0.033
1709597,0.465,0.84,0.91281,0.033
1709598,0.378,0.89,0.91281,0.033
1709599,0.664,1.34,0.91281,0.033
1709600,0.253,0.55,0.91281,0.033
1709601,0.696,1.89,0.74256,0.077
1709602,-0.622,-1,0.74256,-0.077
1709603,0.822,0.79,0.91281,0.033
1709604,0.452,0.32,1,0.011
1709605,-0.063,-0.04,1,-0.011
1709606,0.48,0.42,0.91281,0.033
1709607,1.276,1.18,0.91281,0.033
1709608,1.051,1.22,0.82667,0.055
1709609,-0.868,-1.21,0.66142,-0.099
1709610,-0.014,-0.02,1,-0.011
1709611,-0.64,-1.12,0.82667,-0.055
1709612,-0.152,-0.48,1,-0.011
1709613,-0.367,-0.72,0.91281,-0.033
1709614,-1.178,-1.84,0.82667,-0.055
1709615,-0.93,-1.05,1,-0.011
1709616,-0.495,-0.58,0.91281,-0.033
1709617,-1.837,-2.67,0.91281,-0.033
1709618,-1.364,-2.09,0.91281,-0.033
1709619,-1.73,-2.76,0.82667,-0.055
1709620,-0.39,-0.78,0.74256,-0.077
1709621,-0.732,-2.36,0.51122,-0.143
1709622,-0.303,-1.53,0.51122,-0.143
1709623,-0.768,-2.22,0.51122,-0.143
1709624,-1.426,-2.51,0.74256,-0.077
1709625,-1.668,-3.07,0.74256,-0.077
1709626,-1.43,-4.02,0.44342,-0.165
1709627,-0.594,-2.52,0.74256,-0.077
