"nie_malla_modi_id","sen_slope_prewi","sen_slope_per_prewi","p_value_prewi","tau_prewi"
1639945,5.451,2.57,0.58407,0.121
1639946,4.88,2.46,0.58407,0.121
1639947,4.791,2.44,0.58407,0.121
1639948,4.818,2.44,0.58407,0.121
1639949,4.478,2.36,0.58407,0.121
1639950,4.088,2.26,0.58407,0.121
1639951,3.653,2.15,0.58407,0.121
1639952,3.225,2.01,0.66142,0.099
1639953,2.73,1.8,0.82667,0.055
1639954,1.79,1.26,0.91281,0.033
1639955,1.528,1.1,0.91281,0.033
1639956,1.035,0.81,0.91281,0.033
1639957,0.86,0.7,1,0.011
1639958,1.31,0.98,0.91281,0.033
1639959,1.543,1.12,0.91281,0.033
1639960,1.67,1.19,0.91281,0.033
1639961,1.192,0.93,0.91281,0.033
1639964,1.199,0.97,0.91281,0.033
1639966,1.807,1.46,0.91281,0.033
1639967,2.068,1.68,0.74256,0.077
1639968,2.245,1.83,0.74256,0.077
1639969,2.677,2.1,0.66142,0.099
1639972,2.585,2.17,0.66142,0.099
1639973,2.445,2.08,0.66142,0.099
1639978,2.433,2.02,0.66142,0.099
1639979,3.01,2.35,0.66142,0.099
1639980,2.682,2,0.66142,0.099
1639981,2.694,2.02,0.66142,0.099
1639982,2.548,2.14,0.66142,0.099
1639985,2.77,2.17,0.66142,0.099
1639986,3.327,2.39,0.58407,0.121
1639987,3.316,2.36,0.66142,0.099
1639988,1.403,1.13,0.51122,0.143
1639991,2.241,1.9,0.51122,0.143
1639992,2.362,1.94,0.58407,0.121
1639993,2.38,1.83,0.51122,0.143
1639994,2.49,1.88,0.44342,0.165
1639995,2.805,1.98,0.51122,0.143
1640007,2.668,2.03,0.58407,0.121
1640008,2.668,2.14,0.51122,0.143
1640009,2.166,1.81,0.51122,0.143
1640010,1.881,1.6,0.44342,0.165
1640011,1.48,1.27,0.51122,0.143
1640012,1.972,1.63,0.51122,0.143
1640013,1.388,1.19,0.51122,0.143
1640014,1.29,1.13,0.51122,0.143
1640015,1.965,1.61,0.32442,0.209
1640016,1.441,1.25,0.51122,0.143
1640017,1.34,1.18,0.44342,0.165
1640018,1.032,0.97,0.74256,0.077
1640019,0.934,0.92,0.74256,0.077
1640020,0.968,0.97,0.82667,0.055
1640021,0.984,1,0.82667,0.055
1640022,0.822,0.86,0.82667,0.055
1640023,0.762,0.8,0.82667,0.055
1642331,6.504,2.43,0.58407,0.121
1642332,7.653,2.71,0.66142,0.099
1642333,7.258,2.62,0.58407,0.121
1642334,6.649,2.47,0.51122,0.143
1642335,6.374,2.41,0.58407,0.121
1642336,8.796,3.68,0.58407,0.121
1642337,8.588,3.6,0.58407,0.121
1642338,5.945,2.54,0.58407,0.121
1642339,5.798,2.41,0.58407,0.121
1642340,5.808,2.29,0.51122,0.143
1642341,5.87,2.29,0.51122,0.143
1642342,6.12,2.46,0.51122,0.143
1642343,5.97,2.43,0.51122,0.143
1642344,5.418,2.28,0.51122,0.143
1642345,5.306,2.19,0.44342,0.165
1642346,5.166,2.11,0.44342,0.165
1642347,5.839,2.63,0.58407,0.121
1642348,5.549,2.59,0.58407,0.121
1642349,5.17,2.52,0.58407,0.121
1642350,4.782,2.44,0.58407,0.121
1642351,4.355,2.35,0.58407,0.121
1642352,3.877,2.23,0.58407,0.121
1642353,3.415,2.1,0.74256,0.077
1642354,3.043,1.98,0.82667,0.055
1642355,2.88,1.92,0.82667,0.055
1642356,2.397,1.66,0.91281,0.033
1642357,1.893,1.35,0.91281,0.033
1642358,1.487,1.09,0.91281,0.033
1642359,1.325,1,0.91281,0.033
1642360,1.781,1.25,0.91281,0.033
1642361,2.085,1.4,0.74256,0.077
1642362,1.679,1.21,0.91281,0.033
1642363,1.37,1.05,0.91281,0.033
1642364,1.4,1.08,0.91281,0.033
1642365,1.419,1.11,0.91281,0.033
1642366,1.883,1.44,0.91281,0.033
1642367,2.015,1.61,0.91281,0.033
1642368,1.902,1.48,0.82667,0.055
1642369,2.405,1.78,0.74256,0.077
1642370,2.588,1.93,0.74256,0.077
1642371,2.795,2.08,0.66142,0.099
1642372,3.384,2.37,0.66142,0.099
1642374,2.322,1.77,0.66142,0.099
1642375,2.492,2.1,0.66142,0.099
1642377,1.922,1.7,0.66142,0.099
1642381,2.77,2.22,0.66142,0.099
1642382,2.734,2.03,0.66142,0.099
1642383,2.812,2.09,0.66142,0.099
1642384,2.78,2.15,0.66142,0.099
1642385,2.491,2.05,0.66142,0.099
1642387,2.663,2.12,0.66142,0.099
1642388,3.234,2.35,0.58407,0.121
1642389,3.215,2.32,0.58407,0.121
1642390,2.879,2.16,0.58407,0.121
1642392,1.544,1.22,0.66142,0.099
1642393,1.984,1.5,0.58407,0.121
1642394,2.972,2.12,0.58407,0.121
1642395,2.472,1.87,0.51122,0.143
1642396,2.784,1.98,0.51122,0.143
1642406,3.84,2.47,0.51122,0.143
1642407,3.112,2.18,0.66142,0.099
1642408,3.05,2.15,0.66142,0.099
1642409,2.985,2.11,0.58407,0.121
1642410,2.47,1.93,0.58407,0.121
1642411,2.408,1.97,0.51122,0.143
1642412,2.042,1.7,0.44342,0.165
1642413,2.801,2.17,0.51122,0.143
1642414,2.61,2.06,0.44342,0.165
1642415,1.798,1.44,0.32442,0.209
1642416,1.726,1.4,0.38107,0.187
1642417,1.988,1.55,0.27356,0.231
1642418,1.543,1.31,0.44342,0.165
1642419,1.541,1.31,0.44342,0.165
1642420,1.315,1.17,0.44342,0.165
1642421,0.972,0.92,0.74256,0.077
1642422,1.002,0.98,0.74256,0.077
1642423,1.01,1.02,0.82667,0.055
1642424,0.972,0.99,0.82667,0.055
1642425,0.837,0.87,0.82667,0.055
1642426,0.768,0.81,0.82667,0.055
1642427,0.713,0.76,0.82667,0.055
1642428,0.684,0.74,0.82667,0.055
1644734,8.295,2.85,0.58407,0.121
1644735,8.621,2.92,0.58407,0.121
1644736,7.892,2.77,0.66142,0.099
1644737,7.984,2.79,0.66142,0.099
1644738,8.16,3.23,0.58407,0.121
1644739,6.323,2.65,0.58407,0.121
1644740,6.08,2.53,0.58407,0.121
1644741,5.74,2.4,0.58407,0.121
1644742,5.538,2.28,0.51122,0.143
1644743,5.656,2.3,0.51122,0.143
1644744,6.201,2.46,0.51122,0.143
1644745,6.09,2.36,0.44342,0.165
1644746,5.685,2.24,0.44342,0.165
1644747,5.494,2.16,0.44342,0.165
