"nie_malla_modi_id","sen_slope_tempsu","sen_slope_per_tempsu","p_value_tempsu","tau_tempsu"
1673593,-0.036,-0.19,0.82667,-0.055
1673594,-0.031,-0.16,0.82667,-0.055
1673595,-0.033,-0.18,0.82667,-0.055
1673596,-0.031,-0.17,0.82667,-0.055
1673597,-0.027,-0.14,0.82667,-0.055
1673598,-0.025,-0.14,0.82667,-0.055
1673599,-0.007,-0.04,0.91281,-0.033
1673600,-0.005,-0.03,0.91281,-0.033
1673601,-0.007,-0.04,0.95628,-0.022
1673602,-0.003,-0.01,1,-0.011
1673603,-0.005,-0.03,1,-0.011
1673604,-0.002,-0.01,1,-0.011
1673605,-0.003,-0.02,1,-0.011
1673606,-0.006,-0.03,1,-0.011
1673607,-0.009,-0.05,1,-0.011
1673608,-0.012,-0.06,1,-0.011
1673609,0,0,1,0
1673610,0.009,0.05,1,0.011
1673611,0.004,0.02,1,0.011
1673612,-0.023,-0.12,0.91281,-0.033
1673613,-0.022,-0.11,0.91281,-0.033
1673614,-0.028,-0.15,0.91281,-0.033
1673615,0.003,0.02,1,0.011
1673616,-0.001,-0.01,1,-0.011
1673617,-0.004,-0.03,0.95628,-0.022
1673618,-0.001,0,0.95628,-0.022
1673619,-0.005,-0.03,0.95628,-0.022
1673620,-0.003,-0.02,0.91281,-0.033
1673621,-0.01,-0.06,0.91281,-0.033
1673622,-0.013,-0.07,0.91281,-0.033
1673623,-0.007,-0.04,1,-0.011
1673624,-0.007,-0.04,1,-0.011
1673625,0,0,1,0
1673626,-0.007,-0.04,1,-0.011
1673627,-0.007,-0.04,1,-0.011
1673628,-0.007,-0.04,1,-0.011
1673629,-0.003,-0.02,1,-0.011
1673630,-0.013,-0.07,1,-0.011
1673631,-0.012,-0.06,1,-0.011
1673632,-0.009,-0.05,0.95628,-0.022
1673633,-0.009,-0.04,0.91281,-0.033
1673634,-0.006,-0.03,0.86935,-0.044
1673635,-0.004,-0.02,0.91281,-0.033
1673636,-0.02,-0.1,0.78398,-0.066
1673637,-0.024,-0.12,0.66142,-0.099
1673638,-0.027,-0.13,0.66142,-0.099
1673639,-0.026,-0.13,0.74181,-0.077
1673640,-0.029,-0.15,0.66142,-0.099
1673641,-0.03,-0.15,0.58407,-0.121
1673642,-0.029,-0.15,0.58407,-0.121
1673643,-0.032,-0.15,0.58407,-0.121
1673644,-0.047,-0.22,0.51122,-0.143
1673645,-0.05,-0.22,0.476,-0.154
1673646,-0.05,-0.22,0.476,-0.154
1673647,-0.051,-0.23,0.51122,-0.143
1673648,-0.053,-0.24,0.44342,-0.165
1673649,-0.052,-0.23,0.44342,-0.165
1673650,-0.052,-0.22,0.41085,-0.176
1673651,-0.05,-0.22,0.44342,-0.165
